x,y
-128,-1.9940787809062865014639354028002344634478433441167469889507080521569124843e-58
-127.984375,-2.0257263454213524730065682435102744224997074757905184428093583568955774569e-58
-127.96875,-2.0578762113442434809019669745725919460609843174106889495146512114141281476e-58
-127.953125,-2.0905363515510990810536676550875550137888909836746762380709300493755501278e-58
-127.9375,-2.1237148654769232308906591067295093197939877005133166627246067246496318817e-58
-127.921875,-2.1574199811246654005480403663786109894940191963876527982604600294904832854e-58
-127.90625,-2.191660057106197238049441112497835358073387148841679430809139678823170303e-58
-127.890625,-2.2264435847156911854003233482452442777246691378639460848542550096268376644e-58
-127.875,-2.2617791900359154829559673477850666664312143801501158958715650734683673064e-58
-127.859375,-2.297675636077968167555698265523109969170875505727644098176765134496578674e-58
-127.84375,-2.3341418249549809677431698697854629148560255280327362090101054914148851212e-58
-127.828125,-2.3711868000903324289809243727825276062330498530214415939653622275192264824e-58
-127.8125,-2.4088197484609181652083372183772774751176168985103905753692828075157763832e-58
-127.796875,-2.4470500028760348325110065316509925514480502450985519370427922345911780859e-58
-127.78125,-2.4858870442924432582259886886280649955844734381323628756617218426660199211e-58
-127.765625,-2.5253405041661851366946366008722740140744348993746138651224183229292995199e-58
-127.75,-2.5654201668417368233216254498743415195821411868870780128675997934968977349e-58
-127.734375,-2.6061359719790930238689018153861426090980381330354852352325451026628324024e-58
-127.71875,-2.6474980170193825883065690082317633852917316566444945798750441177486436815e-58
-127.703125,-2.6895165596896281803954500600581574051771698628203293932459644231877013915e-58
-127.6875,-2.7322020205472713078616799656106042619212719295982250529412926328154977782e-58
-127.671875,-2.7755649855650940659532930407867096626098730011126013427284763210733324329e-58
-127.65625,-2.8196162087571789717918038234861770748564765394066005605505496892139784202e-58
-127.640625,-2.8643666148465584507365446829796416255726020612725759948587702208027340977e-58
-127.625,-2.909827301975215881493851622099354094728978258791349485282682147653273224e-58
-127.609375,-2.9560095444571106164950582179249400179076462637532216331493119873537586475e-58
-127.59375,-3.0029247955749100707454255726031970422552581658024431115285859026321383478e-58
-127.578125,-3.0505846904211228185607933454444159144425450372581082269143318119157997704e-58
-127.5625,-3.0990010487843376560521617230317302950195538867571177839845618092874787455e-58
-127.546875,-3.1481858780812847806256418400457688986681588616357757610310631996970996999e-58
-127.53125,-3.1981513763354466099147140316402065759557960510710022794503584465004562534e-58
-127.515625,-3.2489099352029573142761066499276932037600820925394997103508702667523343403e-58
-127.5,-3.3004741430465418721272770432777663203840137898135760950820305154220554048e-58
-127.484375,-3.3528567880582573788954034294235015079896640523022461088380589834217701032e-58
-127.46875,-3.4060708614318114511442065345162217938967557071202604598878587559542892986e-58
-127.453125,-3.4601295605852448705520345121484858994361588110905289462333936893225368698e-58
-127.4375,-3.5150462924347781108864284689813902119857263350675884230872888957407979262e-58
-127.421875,-3.5708346767206340880593050400335487742655794927832931779864359341364105199e-58
-127.40625,-3.6275085493856623719046848024200658337900687695261252359030634444112749595e-58
-127.390625,-3.6850819660076032016993531743824818086502663380683338576339264148651413299e-58
-127.375,-3.7435692052858429588986054524978166680864704161938270522790671266757827782e-58
-127.359375,-3.8029847725835262733885984050116383859930154526777554871654656125184101628e-58
-127.34375,-3.8633434035259036771205834004626036062415434968853517392734401985991286497e-58
-127.328125,-3.9246600676558076747005173541403912693075855324387332292889287661907881054e-58
-127.3125,-3.9869499721471642778244823968533311865422509390031830211960554596471563343e-58
-127.296875,-4.0502285655774614528952554885997151856292014534769266497073407898002966058e-58
-127.28125,-4.1145115417601105623034092265133721550947395923819839124963467079015661916e-58
-127.265625,-4.1798148436376517433394281927319815272827730156482079420206263525595747589e-58
-127.25,-4.2461546672367692682111058767000146322205798109490418904593592967116161758e-58
-127.234375,-4.3135474656860982679211573114139734488660122244492864410388949079933422715e-58
-127.21875,-4.382009953297819785621281898365319051991456824588526830544784375187681692e-58
-127.203125,-4.451559109714056955369052739286288877404685563037086963958277615435718973e-58
-127.1875,-4.5222121841191011839026403768725920782327606880730786448092553419994000572e-58
-127.171875,-4.593986699518513550107557106304201994827107824751565764634549794304495248e-58
-127.15625,-4.6669004570861632333347908379796568672999058108782397337527120664595627036e-58
-127.140625,-4.7409715405802816417607506925564246208437145258039298484413638081755189759e-58
-127.125,-4.8162183208296280397416668414161604161950444679059387365113446932035196184e-58
-127.109375,-4.892659460290879872860241479998292010250976145072398740094094921192639418e-58
-127.09375,-4.9703139176783786654097290535658356281958353401733010763287233357910998338e-58
-127.078125,-5.0492009526673803217981231773302295447721928690154555399712306246770709571e-58
-127.0625,-5.1293401306719769052403243031877312256769803863209466093944108837609249128e-58
-127.046875,-5.2107513276988754986674301014726917224950592694727260949099169082047786577e-58
-127.03125,-5.293454735278238578619923022455234705736800806486461529121731502358021814e-58
-127.015625,-5.3774708654728094576788814067102009879884152784609251897499184608801612137e-58
-127,-5.462820555966565779473988648997202478512874569912433198892250116089906803e-58
-126.984375,-5.5495249752341637873120369793557208809369027171849885806391379019820908442e-58
-126.96875,-5.6376056277924561378943945693640843708351043011059270833924859431839907618e-58
-126.953125,-5.7270843595353864004139181545318929730689935049852213164652283012415493467e-58
-126.9375,-5.8179833631535840735974904790955029642743684870982042683956452824064320342e-58
-126.921875,-5.9103251836400049741264915305794739851055450103571800323326022462241702971e-58
-126.90625,-6.0041327238829832045424057960248825465331283978398517368451588526322911111e-58
-126.890625,-6.0994292503480826025296336265295277630948687323193823321322139503758619224e-58
-126.875,-6.1962383988501576117478165252383096871584023697738392061117230355727706288e-58
-126.859375,-6.2945841804170559026325386338267693726008316724146928159348589793585869153e-58
-126.84375,-6.3944909872464178153539548347837220661406974108709647136393401941786556905e-58
-126.828125,-6.4959835987570508020638148540822058951829245814808289551622291994939668828e-58
-126.8125,-6.5990871877363805174082698960047726497606092355363370830593597931625164706e-58
-126.796875,-6.7038273265855040508636275268493012053032065816882634998592043801677077777e-58
-126.78125,-6.8102299936633950176842690227846285956783854780925672860142261185166111604e-58
-126.765625,-6.9183215797318348331496818013393042562422572652791085771091771897407401297e-58
-126.75,-7.0281288945026694934699150212396005382032460427177964997964798644617943651e-58
-126.734375,-7.1396791732890165823616896466453073517919809360260052628372568552786797248e-58
-126.71875,-7.2530000837620730212454005068520462849413782576386396989365682820522356941e-58
-126.703125,-7.3681197328152002896409825531959189376696875396618289716667526236614762667e-58
-126.6875,-7.4850666735369904671644425773602254772149119433882042475682049522421028501e-58
-126.671875,-7.6038699122950434961564832827085554318282947045828566053559081049789012376e-58
-126.65625,-7.7245589159322135411247485199792665538827332994257222848330653229407736568e-58
-126.640625,-7.8471636190771102346731214013311546633431164861179791031474767548410954075e-58
-126.625,-7.9717144315706689563548744416879019564725652317772405258369886476933879622e-58
-126.609375,-8.0982422460106330979610260539710244854976581342508004798609615636535454577e-58
-126.59375,-8.2267784454158205332925316532551202538521948739284042110599347210057116886e-58
-126.578125,-8.3573549110120762397300450153155971072031453688600731347619868695795755662e-58
-126.5625,-8.4900040301418432202884289168189507528778914575570814900901511607530289888e-58
-126.546875,-8.6247587042993145558226965780180616973481747337740748433225329588219640492e-58
-126.53125,-8.7616523572931605852544326320091410348622372318075018852506092403116411799e-58
-126.515625,-8.9007189435388568748507537941499495606650507701248849941293027368934717271e-58
-126.5,-9.0419929564826708035722000841453814533790589612113992042876388056159641177e-58
-126.484375,-9.185509437159397268297119820842105286951417038473979810497416034213090712e-58
-126.46875,-9.3313039828859672084404786391170111466102506305549927507936308158773908854e-58
-126.453125,-9.4794127560930863723557824943934396160593924509554016824166985226854211394e-58
-126.4375,-9.629872493297096006312046638661301256090741514597993747391968551768796616e-58
-126.421875,-9.7827205142142819492785271257784561163119703615959057938804162074653061638e-58
-126.40625,-9.9379947310198939718684014976926076033238398355900313770393373750764797212e-58
-126.390625,-1.0095733657754173114366112215647645051341098834370696346304932722149675882e-57
-126.375,-1.0255976419877721265708449470484198445919703440779678952196674554902684629e-57
-126.359375,-1.0418762763978584291665050944119408558908908260541437082612597737346731513e-57
-126.34375,-1.0584133067633457675472108487135955602945835399741105842329264720978028143e-57
-126.328125,-1.0752128349425461887162126227457575678713082805706943952646653345729700013e-57
-126.3125,-1.0922790279120973558299480689866169243983532841471879558981917215321949522e-57
-126.296875,-1.1096161188008038016424037515883098423244068225356000535521406909361916867e-57
-126.28125,-1.1272284079398928838024160712395412575867215910956659099271876877660034845e-57
-126.265625,-1.1451202639299460820262755303144097796804152682464989008576985394104518139e-57
-126.25,-1.1632961247247704160080298584467925500647330623505048744353615546719976668e-57
-126.234375,-1.1817604987324789674972576047796939242031100124045405634654481814920963969e-57
-126.21875,-1.2005179659340537613126685738502032124785518871110216507303102884889611953e-57
-126.203125,-1.2195731790196685992301245163628347563033561601032642894067076987857541805e-57
-126.1875,-1.2389308645430538487628492604262865185139991724454977387694896462839490109e-57
-126.171875,-1.2585958240941896669341088901656911269715942086549292146734853467624231233e-57
-126.15625,-1.2785729354906186883402687673756343111091749784666255815839308542638322999e-57
-126.140625,-1.2988671539876738282443125820778027261523388565343397935264835016010703874e-57
-126.125,-1.3194835135079215462740154432758159136296559064284583961055814364922102615e-57
-126.109375,-1.340427127890125685690598257119579022956759445572897472439057503703490474e-57
-126.09375,-1.3617031921580418483269674709370058988344854189995661380011031164589073328e-57
-126.078125,-1.3833169838093571873724831489526366607090028341352731316811218362692965386e-57
-126.0625,-1.4052738641250955004256257634541535423604311130355117851127951515258942534e-57
-126.046875,-1.4275792794998125848883840050898240772556089868518016907231118111011469306e-57
-126.03125,-1.4502387627929119780978161104208620454343557234142145512382506015814958008e-57
-126.015625,-1.4732579347014164468622304492138448885059806827492148602860411487131853823e-57
-126,-1.4966425051545359165933213635584417275600330490479647082001544883639836901e-57
-125.984375,-1.5203982747303779403235898723961688447121518884709137835695414932377485755e-57
-125.96875,-1.5445311360951523039136829925428825887657795284400373499040590896228473742e-57
-125.953125,-1.5690470754652269470514415846440331746536403837657458821124681289103326948e-57
-125.9375,-1.5939521740923980516096695547866170080248401378000454157823895839474004775e-57
-125.921875,-1.6192526097727429109711591807140925031856439502492322901323523675505660546e-57
-125.90625,-1.6449546583794300474779277762474113035950532950571849860467564610615864191e-57
-125.890625,-1.6710646954198669916702618778381787236117976870361836978162160839750617965e-57
-125.875,-1.6975891976175721779264321143392835090985950415229122905764240833563427971e-57
-125.859375,-1.7245347445191635479956905150113985420504247715337779708802767313780633214e-57
-125.84375,-1.7519080201268626882590704517338221924971624903113737991834279964526256635e-57
-125.828125,-1.7797158145569196599024569586910282312179157033903633813874835010130034725e-57
-125.8125,-1.8079650257243701151168465349303098897468978777905310439917873703202877453e-57
-125.796875,-1.836662661054542828549111396524667379105655729263370617546662793085770089e-57
-125.78125,-1.8658158392217424131357368965102871654778362730378341527306970974911745695e-57
-125.765625,-1.8954317919155387348105016025602305420495772728843301852042079014518601033e-57
-125.75,-1.92551786563510139305969161948811421584626820244346603075567982958110207e-57
-125.734375,-1.9560815235120245956065595853632347711687268141663180807222388401200384079e-57
-125.71875,-1.9871303471620948273687534367191331863710864625926434643263292083732519822e-57
-125.703125,-2.0186720385664608980042025312302975038668422763971107475790553756155114422e-57
-125.6875,-2.0507144219826732506262000358096698481854731237771942284562847334054315706e-57
-125.671875,-2.083265445886066828439233640188396673433988811994062765769788945287971841e-57
-125.65625,-2.1163331849419693279643466954182652536372229508747881984905752160423943236e-57
-125.640625,-2.1499258420092243190565530998688933643866904743993317386641143736399567975e-57
-125.625,-2.1840517501755264849668796561391576810321410319822327805835158863880418964e-57
-125.609375,-2.2187193748250741321979427263218387136141730570947775889122801551298799085e-57
-125.59375,-2.2539373157390521418052102067072384719183004572330302050436876266752040832e-57
-125.578125,-2.2897143092294666830980253178205034980453447041435451534864268157810604872e-57
-125.5625,-2.3260592303068612894184821379023019507510125944689930791716732815557350505e-57
-125.546875,-2.3629810948824523058778898965889131099834279128921627036806136522939062114e-57
-125.53125,-2.4004890620052302626980390337979870117857712625586600577962769596461637383e-57
-125.515625,-2.438592436134582407259150335487858402702665417735149678339894710942377146e-57
-125.5,-2.47730066944900044525330754793347376833313323966661468456432603520945988e-57
-125.484375,-2.5166233641914464986706324967710433656639089080430612058579875344431276909e-57
-125.46875,-2.5565702750519593879295226772070515959087484397737968676916280815202200595e-57
-125.453125,-2.5971513115880925895613237290329531340189550087793861327541085677080330901e-57
-125.4375,-2.638376540683784611769129922914027159388514328143434919895566508865401902e-57
-125.421875,-2.6802561890472720702317291590355873577116191673217683233494253016068640978e-57
-125.40625,-2.7228006457486654380858061765394085987723015031718688215140077346978070496e-57
-125.390625,-2.7660204647978172894987849450484351111272096107978128943204234361459798375e-57
-125.375,-2.8099263677631228580857475759066449447403963061955096376109217244814479834e-57
-125.359375,-2.8545292464319028921101615017322081280582372284954084879578943810175985384e-57
-125.34375,-2.8998401655130291104625748265439835373398439657459472878217310118501319472e-57
-125.328125,-2.9458703653824630493969707024481766602527212986919400227578596388365016938e-57
-125.3125,-2.9926312648723897425247843263163832466642391631361378634601415035728401429e-57
-125.296875,-3.0401344641046384982667162605790669514088383770126909935901351874130713286e-57
-125.28125,-3.088391747369094032529472414519112711787294246862552660942169544676680524e-57
-125.265625,-3.1374150860478123825381542728246325702592788713024280113527329050154975267e-57
-125.25,-3.187216641585567373288301863197717797903264990883237570657775132854895903e-57
-125.234375,-3.237808768507564933801693253626617552259121781248613299042796880385569278e-57
-125.21875,-3.2892040174850742691388122086460262176319299853252514808491678689369000896e-57
-125.203125,-3.3414151384497367888457523858944400124386444868894224481985709526063271018e-57
-125.1875,-3.3944550837573257761477548326666759736781389785324297650043018968314437197e-57
-125.171875,-3.4483370114017420577460121841709679475987790980996899316407745362372998049e-57
-125.15625,-3.5030742882800434045769136704442045282615038689877797718661418919844702119e-57
-125.140625,-3.5586804935093180624500618468391913267230588059245100335494291528510207445e-57
-125.125,-3.6151694217962256812388622577716073163724371639743358063324790925287042387e-57
-125.109375,-3.6725550868600419854509350768008477149180072735956617298742529619728616196e-57
-125.09375,-3.7308517249100568108014475931751458769131795795428310458935782622594569045e-57
-125.078125,-3.7900737981781886241487094392406433351830552452900509136664455591034840922e-57
-125.0625,-3.8502359985076923511783857818668653415615303789174507181050941308490861599e-57
-125.046875,-3.9113532509988512609440625140491039160026296926481250774817820143963315388e-57
-125.03125,-3.9734407177125578022453004214481862614897078725431372004357426953362136656e-57
-125.015625,-4.0365138014327026573623232851153672570705562099039572613034510805870962048e-57
-125,-4.1005881494883058774374735823806626001819070676898063791253122459707373741e-57
-124.984375,-4.1656796576363387944225955968522812673330383797157624477862189947408162961e-57
-124.96875,-4.2318044740062004706812075515859892829142195257900187496223949059396043358e-57
-124.953125,-4.2989790031068277527858362232163009435127173709435126829153633623263898097e-57
-124.9375,-4.3672199098974335445847691865902141978341810603590178268313882701448587036e-57
-124.921875,-4.4365441239228837100896606103980355790206547809267544032539583703091953411e-57
-124.90625,-4.5069688435147390630781640294114238949697322394479228026655071881397600652e-57
-124.890625,-4.5785115400590052014986200722754907806667516275980969020088962186798418287e-57
-124.875,-4.6511899623316495048546514112782070045783112991531124791481757749509449925e-57
-124.859375,-4.7250221409029614358484617159968443437137276818638896026359196254180513793e-57
-124.84375,-4.8000263926118493778501698472202476202508163455356071505278769556477644864e-57
-124.828125,-4.8762213251111846014804614853912427110876534865278595294120720667297599821e-57
-124.8125,-4.9536258414853205910564453875021736929969162180330303786290372035264323881e-57
-124.796875,-5.032259144940933879235579888091783302632887178160546940164166222378425003e-57
-124.78125,-5.11214074357235074034917620583087877630541764836683183917441955856010875e-57
-124.765625,-5.1932904552025425841652525743994346283492818435256266964927213994915530838e-57
-124.75,-5.2757284123009916767521687782027726978594213652138518345637836187000498845e-57
-124.734375,-5.3594750669796478983942140966162572936836912243810367028115940512528727798e-57
-124.71875,-5.4445511960682166348769495423319058550961572701393421713755040838204727394e-57
-124.703125,-5.5309779062700375927276881434413878381322976209154548224229062496415268638e-57
-124.6875,-5.6187766393998343360555751000769417152762321682268355042239008721110557355e-57
-124.671875,-5.7079691777046346674545276741590512402956598801834580747506810889204461746e-57
-124.65625,-5.79857764926918262305795595116054693403762699739053858580732581640577538e-57
-124.640625,-5.8906245335071838273940257166701183095046104773976198095651988343358264176e-57
-124.625,-5.9841326667397472623930050590918115429664833736652571286028462444123099596e-57
-124.609375,-6.0791252478624081520354580938597573966456489689391295587861739978103520376e-57
-124.59375,-6.1756258441021386550772676592114957471721662056947559324833426373968538451e-57
-124.578125,-6.2736583968657753985056285949068598419858540474318227800530341370809793536e-57
-124.5625,-6.3732472276813155794169447905864434860177992692202282490062125969552528924e-57
-124.546875,-6.4744170442335564184988009992931423216476651944715420232262543382385202638e-57
-124.53125,-6.5771929464955761699692027200697659110250256890338930503444545222765750287e-57
-124.515625,-6.6816004329575786864933685492167923258253234870154998410394157894714407694e-57
-124.5,-6.7876654069546477091701943617330264494995020176367736048940993627999922631e-57
-124.484375,-6.8954141830949816081596211058636813043551985719215911170607208510002402759e-57
-124.46875,-7.0048734937902042450064110229523754872496248728193150423628021939884213552e-57
-124.453125,-7.1160704958893729694000181751022020345635292539332616885332306807725536968e-57
-124.4375,-7.2290327774183305072874787868900592163582058093200382203201399661277339379e-57
-124.421875,-7.3437883644260736503196619179122740074255570626981712944522684301940277567e-57
-124.40625,-7.4603657279398382250554826120534855857300830602975380496478186893057069392e-57
-124.390625,-7.5787937910306268107716268550306270300876977606904237472417403521530449882e-57
-124.375,-7.6991019359909330938296159970584520606404933690317749669753258462810869108e-57
-124.359375,-7.8213200116264446011467649679922712727602954983550751112613586150201928927e-57
-124.34375,-7.9454783406635338523200438856060800017313818592204160328330852494943924885e-57
