x,f,g
0,-0.6862906461852234155853879986491774694504940445921314590202096709903159354772369507128243879386677983727916577814885493891681972578539978588219625660161,-1.542130646617624167559805727194610423968317632193241924833559259070718293810246359737998320455607785834745480693649909745255846516430247644343992714922
0.015625,-0.6949451900586850602547935869683650947128238432757747718518083601398054873372157098900666678187465334790872861517512841185230771016292527236487999551365,-1.55939046597229037053215970997765354606843088903467013823211400995266114805696891312885997561385701196023500383217718958365274132837409986770141085134
0.03125,-0.7036418666277782069276809996384582879788499054100931679391373674281336329769716353592307677862995010121638364311611757272038512955229309017338653200802,-1.576719075338408594957599205941239648721066391233574324077281404442026143018782248594858953270500791844348467529376237051125108269591379623822025589149
0.046875,-0.7123807191786849321782314724044526038932456771515109903156421884856358500583900324316907439377764056045297032758062090494323330744689589357232475403108,-1.594116634921170609823795519631789439654136619044030907652715832395979119613022152487092136746347210752088187548906541741103877614993619596419246358265
0.0625,-0.7211617889304160260037577252408307790694312218334708593069207774959085082176376010045197878461463272868810064408848493641939063910591341800306900061216,-1.611583302744169943676677960142951913427052784434719664821400463493592490568353842732531355571305564133263404246728622527669634462685310549693439450634
0.078125,-0.729985115012980324376741704896597216107788914958525700905121239522634314807798721512373727977369226190188659251098292622165207704141168159878816815947,-1.629119234608123236518596087395506322745187681003596238054174454621167539263328705829773531405573731465743207464318173162865690248602331743538910495268
0.09375,-0.7388507344457203163718512816891947298824556287962501075485685514879860480250963477136072697048279521019057306945216108080479755339885992305087167459283,-1.646724584049404143636511665268660399251202958901405669787846404595170407963568096399219671610196184955517337823353580876579226385489584781365834206288
0.109375,-0.7477586821158236634617977477047021434814778123025115385623937882959436611512642508089459985822668940328239749576200953840524214331772690817396575163539,-1.664399502298398484257851198202941567072560588415993003031798748036612264910167886481174123664340765621019838162816629971163506147776389157646628061718
0.125,-0.7567089907570203925216704178847816820930152751247596230068596109005815695600046474800064757571071172125742072812129322892607589225987890824580037165844,-1.682144138237689616322412295637845433274165108159855785612351183681140177496706424969234258032858831865299257314594082557528469058582646161002620509463
0.140625,-0.765701690928475645229707392872461067729848434848296273167455757330049913866807774988412077131125779554650780873739064600776134683050222223519726924181,-1.699958638360083310377343027166232516198574648802269951751336476456871877277251305844769367585716674919403299664250714441065275953419444680326186557328
0.15625,-0.7747368109938879847225541384410837325994118817418330198241176197889250886226861722884499159266106476016170687391198500358327480174523872403214078869363,-1.717843146726481690543400079065499349841860851996704258838666817417867243055250128121657577483133467217937367425976590806203327613634136121700652475134
0.171875,-0.7838143771008033753709043634935275347175453333681870250476269173129849800708755606862853907875197672885228108690820929418272042524932393952990722470214,-1.735797804923616108551836995684963138625435278497135695673330091537200313809882721904790059350292055827118304465429444908815373775507822942424413782667
0.1875,-0.7929344131601550631998531410711305799855573439156803486168496275053893627524982491551227437568563410908646428155394904824213274420726293867281908877287,-1.753822752021649117892284511290671437264116756884984305066792338534814842434855333147899138141130182730154407433734280425840126169306510233159238892809
0.203125,-0.8020969408260396925971371106892095551887516683333291380623319179162656153976029439032920724502400216534693794947999851239714115465886438983137425499968,-1.771918124531656019015084482391528381016639065313323140131578105801120062260577383380561037104906600221588677157823355149723251629030494887023915778004
