x,f,g
0,NaN,∞
0.03125,1.4485371566872385673575178192115617126999210110926072933276478258887407477,2.935456999426760548436851102321119368266407094674386559790414031279445125
0.0625,1.3681824405835373748453855164059427319281308804834036155245874797873989903,2.2862691188202866030522533810509027515174653080137387650540727901369505125
0.09375,1.3028419280795210643008623446072229211417516279713112711647529908124089937,1.9225093429173584993073174200561579114361717720975172658489049454784043047
0.125,1.2468470482245735321836934667314675768373207835403136571175688672283602073,1.6746460536226512900179719308389355889136483658444559539340307444134145679
0.15625,1.197529990539391017320631893617477298586377050194403606614934462509854695,1.4896808708767174140061882057937313686185188643305889690711864148321618503
0.1875,1.1533354031476056222397462981714551390394388442355659524939095697918002202,1.3440797530382148747013529529389835217447440223090540255769051906985998214
0.21875,1.1132468966391463818742581961651969227108569560345209003037142831982707762,1.2253347679245252133235934024366176903435755179885423446208953912775179541
0.25,1.0765505553276071689198955388976337911759456872723802084205475377487473623,1.1260108838118169282955369327643458325280031456247170392283200905518230543
0.28125,1.0427191490965539977495039271508864787165542974391223583272473001474200889,1.0413345506276426864457220043726510018554309237762763973304626837268656093
0.3125,1.0113486647464597283960870392250130130864077844893156575248899075265494433,0.96806288477215954721036438902478234316237768009723673126216090706519742856
0.34375,0.98212059039229981496584048724954707858441252491112903548314454339583241742,0.90389544238248030772617052768507570341020649139772756221178926024755975322
0.375,0.95477809581688430583860970234558153577502455165304526917348400842810773347,0.84714349059059953709044595137011328790775906176730429327763088997566509425
0.40625,0.92911025376695066622303559517157585140904130957422751994948497812484992648,0.79653242096371052080640196342199215734377327470793494625476198275910745501
0.4375,0.90494117806474575928412959648965633395738308908001619528083846228722580981,0.75107780436985084918690313531624411365363786532121325668895895951859621447
0.46875,0.88212230577312745634395162396026413637675252673063909315657258864226895125,0.71000445809671545730263985145206175500630217149017929488133813089076074354
0.5,0.86052676572615856228433225276586614777413219796165593342310511120627346792,0.67269179286854911155646285161224297164944708917095988518434497720874867549
0.53125,0.84004517547060494911644174352083221612246977204003558165013141494107126342,0.63863583671175973764897284133452128732346941554382323723512042985360966573
0.5625,0.82058244260811818870108903805035569219804396184588238992368998697630081596,0.60742218969637031633801013463816085899761713847669001378615147327004097874
0.59375,0.80205528888311138053977099975643792599096237790670396248678480679450060035,0.5787063464700152214642222534788243182205705803314265601795634782378867567
0.625,0.78439030493789385648217450753880464144347718856915746511635302328160807871,0.55219910765224655915643058556710716160264802767123032439598880389185478032
0.65625,0.76752240169116337287724155753555559626499013261524363353064590073206954982,0.52765558244923084299886074656063118828069216346141534579630660635953092267
0.6875,0.75139356287146564834325617221299908992462869146737388638610045842152156556,0.50486677444558284479526927123504544197749528350263792911521050112489230569
