x,Ci,Si
0,-∞,0
0.03125,-2.8887643685893018050242639339583917,0.031248304628662767938578516158891564
0.0625,-2.1963494609063256257004053304698892,0.062486438221296050781776813925050854
0.09375,-1.7921044103495217137348640233745273,0.093704235700949097786500905263534828
0.125,-1.5061295845296396648658490058397477,0.12489154390467225246912589576605877
0.15625,-1.2851796356393269313981028514968694,0.15603822753012972032881275001748706
0.1875,-1.105536966620416617929988796129778,0.18713417506975583753885932209700996
0.21875,-0.95454915302284885978983844856753955,0.21816930472831739379101903634211972
0.25,-0.82466306258094565308586503451908507,0.24913357031975716409540256648702237
0.28125,-0.71100598795676155079956769002223113,0.28001696713920953747366375147212455
0.3125,-0.61025008163173486481340029718563347,0.3108095378060979825672094498350098
0.34375,-0.52002091677377017538217396367409856,0.34150137807424604615589027977215191
0.375,-0.43856448697714491094455848411310839,0.3720826426049586229083703192714189
0.40625,-0.36454795630419377314005976301874538,0.40254355069905834336159107424310229
0.4375,-0.29693446120352559325760518733746365,0.43287439198389307970452058191613312
0.46875,-0.23490121165411811419192628842795667,0.46306553205136474054296814911971988
0.5,-0.17778407880661290133581027107056908,0.49310741804306668916162670757276465
0.53125,-0.12503901192987743730193263203667866,0.52299058417865724520491399510184278
0.5625,-0.076214501141113560181434437672737631,0.55270565722363978513661935975259915
0.59375,-0.030931496136644847586410027996639882,0.58224336189276590794203866706037586
0.625,0.011131517410435709514117668714906253,0.61159452618532694263100222656006395
0.65625,0.05024979579500861655002105808769782,0.64075008664865070423564863695497614
0.6875,0.086660988433306466959048827441080025,0.66970109356617481397867692587069194
0.71875,0.12057186360986231356649394222592803,0.69843871606652504371185704301188892
0.75,0.15216360098033023655309543174858399,0.72695424715008697901238560146458621
0.78125,0.18159600219106006672615718017844441,0.75523910862962177176129795434415242
0.8125,0.2090108744091825724327518235448015,0.78328485598154182180148548297138473
0.84375,0.23453477417933838397691680066504168,0.81108318310452983651474788653771933
0.875,0.25828125126936125435024543995808462,0.83862592698225481298628210423234951
0.90625,0.2803526978325607417036390110544562,0.86590507224701101399077690342904642
0.9375,0.3008418832000761727940676755014945,0.89291275564118090856376117259281201
0.96875,0.31983323616985922748659216178606338,0.91964127037350026076680368770061605
1,0.33740392290096813466264620388915077,0.94608307036718301494135331382317966
1.03125,0.35362475815331721599874545173334164,0.97223077439704527902388746719707706
1.0625,0.36856097972246472384557173663859489,0.99807717011285148439184126150380819
1.09375,0.38227290985948477241619863394657402,1.0236152179461916345830749175484482
1.125,0.39481652277289745569248762571431955,1.0488380548982863778241625346230633
1.15625,0.40624393364584541527027910043862437,1.0737389982062063797987212059256992
1.1875,0.41660382172000836568560890562895971,1.0983115488850840621694006602270298
1.21875,0.4259417977151955658606022336205582,1.1225493951439891362766558220849392
1.25,0.43430072403355238882795144372005849,1.1464464156732344260321116512018084
1.28125,0.44172099473701287789901485332165127,1.1699966828009751638407214706892275
1.3125,0.44824078110797514660370782320092369,1.1931944655170631817010311167136184
1.34375,0.45389624764649575307832147439639756,1.2160342323622171285272754408862489
1.375,0.45872174257664375115452835393453768,1.2385106541806709451589433945507801
1.40625,0.46274996629440701393140739443586766,1.2606186067345652403536034689370322
1.4375,0.46601212066191670176822954876028681,1.2823531731784498531762956024607558
1.46875,0.46853804161594278554818030350430634,1.3037096463923706775477489421972268
1.5,0.47035631719539988667508215223656055,1.324683531172119680370472846875214
1.53125,0.4714943927893248237788311927474885,1.3452705462753338818931382406238381
1.5625,0.47197866515254308945408137682791359,1.3654666263222368013453815116139735
1.59375,0.47183456652228863432704748624844409,1.3852679235499244172612413988335223
1.625,0.47108663998833562701663539641551303,1.4046708094192069646019040363410668
1.65625,0.46975860711604034679102229672029219,1.4236718760731278035575178818657103
1.6875,0.46787342869144027091154322767958262,1.4422679376463910610725987273461834
1.71875,0.46545335934643085236212754808674467,1.4604560314250406786387796886978202
1.75,0.46251999672693574329713441148898467,1.4782334188558448113621472809212212
1.78125,0.45909432578534992762844508772332261,1.4955975864049511261323227933712448
1.8125,0.45519675870825820726247416385544649,1.5125462462654903531229752841695896
1.84375,0.45084717092976521542258327140544115,1.5290773369139173669704513788964285
1.875,0.44606493362826303716142805843592454,1.5451890235149910239179523291501037
1.90625,0.44086894305889452452231116424254442,1.5608796981754058711355702842759839
1.9375,0.43527764703432789071867948481581965,1.5761479800462005866106387702011608
1.96875,0.42930906883188724560765050402751238,1.5909927152741795149195950849713169
2,0.42298082877486499569856515319825589,1.6054129768026948485767201481985889
2.03125,0.41631016370936764321479341948226349,1.6194080640222477795760390286845561
2.0625,0.40931394457480147224530051621316508,1.6329775022714772246748471053948647
2.09375,0.40200869224565136452613380605447373,1.6461210421892144248607853646700737
2.125,0.39441059180417184157758652811124273,1.6588386589183907487945044957108497
2.15625,0.38653550538767610813808466513832571,1.6711305511626943069368514063037025
2.1875,0.37839898374000390836916207051504712,1.6829971400969784233468585479892168
2.21875,0.37001627658423859652464510077508816,1.6944390681325315323200479209208937
2.25,0.36140234192262687534806787904354914,1.7054571975384235844903985334637564
2.28125,0.35257185435975782441329952701138001,1.7160526089202484799945834163338964
2.3125,0.3435392125362313780157062986525524,1.7262265995576853139966927850171724
2.34375,0.33431854575216067995033486535698088,1.7359806816024032425158606582771604
2.375,0.32492371985279528299801994544087208,1.7453165801379354753898399958442807
2.40625,0.31536834244222522655280159299975471,1.7542362311032472007914138179665035
2.4375,0.30566576748544449093090318493921528,1.7627417790818200656456792088617566
2.46875,0.29582909935394191913428649662424694,1.7708355749581721034974001125970886
