,i,p_i,q_i
f(x),0,-1.0000000000000000000000000000000000000000000000000000000000000000e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
f(x),1,2.3000000000000000000000000000000000000000000000000000000000000000e1,-2.4000000000000000000000000000000000000000000000000000000000000000e1
f(x),2,-1.5600000000000000000000000000000000000000000000000000000000000000e2,1.7700000000000000000000000000000000000000000000000000000000000000e2
f(x),3,3.2600000000000000000000000000000000000000000000000000000000000000e2,-4.4400000000000000000000000000000000000000000000000000000000000000e2
f(x),4,-1.2000000000000000000000000000000000000000000000000000000000000000e2,2.7400000000000000000000000000000000000000000000000000000000000000e2
relative error=9.3081421325e1

,i,p_i,q_i
f(x),0,-1.0000000000000000000000000000000000000000000000000000000000000000e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
f(x),1,-1.2657883280920183007201090200858956729989112087981974128917648092e1,1.1657883280920183007201090200858956729989112087981974128917648092e1
f(x),2,-1.3053109182509008976322671901618034916168276990000849783153285073e2,1.1587320854416990675602562881532139243169365781202652370261520264e2
f(x),3,5.1441491203278330490142024843731401280925437031871702115343447951e5,-5.1457875889117023535719787733673191107187603131279299359952384765e5
f(x),4,-7.1313031559853977550250737059720266861779431849661922162153696696e6,7.6453117427682835182829098922497014666350342768484053645801097422e6
f(x),5,2.3315199095804666689948222807632199976820055730873713045664489412e7,-2.9419569623323459043940878678450565874268903158293542494417314762e7
f(x),6,-1.2125942843842902625675782869356827736512165349003620452812947240e7,2.5282052822447583906665506754207320256895178853441042197027426079e7
relative error=7.7640922672e1

,i,p_i,q_i
f(x),0,-1.0000000000000000000000000000000000000000000000000000000000000000e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
f(x),1,2.7787325760919836320541553984498161324499251418734886603391859948e0,-3.7787325760919836320541553984498161324499251418734886603391859948e0
f(x),2,4.8566098521068565265596198113556802614512279393866309681344334813e1,-4.7787365944976581633542042715106986482062354251992821021005148818e1
f(x),3,5.8624219692476246217872729859497343858536342255225614506569597750e2,-5.4011863325150992964902278968451700370595129287464285806367327070e2
f(x),4,7.7805805407590357158117827924759726294869360478466855860585114643e3,-7.1189762861834002540454298544662870566129486653717089123474133292e3
f(x),5,1.1898181657279290098068293756955621270624595171039677991413629218e5,-1.0981395861666774453857854775745004686884439387605221805944070990e5
f(x),6,2.0581477169313855292566227470865273740262421843958745365492726938e6,-1.9182673885242262131201121628283217836620957350740416660330542611e6
f(x),7,4.7778732760315610921867631445785536168377217287832482039144465673e7,-4.5394166114369716795111358878159080968132711859412145254247179559e7
f(x),8,-1.2032193892298429606837414153131630358209424180744359335945862671e8,1.7365424538843991803415095400876494351338121550098228879657637069e8
relative error=3.4720518117e2

,i,p_i,q_i
f(x),0,-1.0000000000000000000000000000000000000000000000000000000000000000e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
f(x),1,2.9888474046202455257977543278485756526998740346002930611950104356e1,-3.0888474046202455257977543278485756526998740346002930611950104356e1
f(x),2,-1.0486930051798846763063650850664981175158997281033542308585986985e2,1.3275777456419092288861405178513556827858871315633835369780997420e2
f(x),3,-6.4290420414549973540518883552461902564767221938253251407477203873e2,5.8981185171991617829050741357494072695007972726420295221281237760e2
f(x),4,-4.7590961345140244765018077127799604514434744486380690166161963332e3,4.1015611217021674478991662064699278545086122064028891012653053897e3
f(x),5,-4.4550880103351748296127651554789013062506775814318079132571203244e4,3.8686114014435724639121386007159989352943181719656390650044388466e4
f(x),6,-4.9829491586598452213292993572307707270416475350805646875510572501e5,4.4100334895532516118117050449467037874851131938016410032206334940e5
f(x),7,-6.1579997440211130757931803368704882155705901012679456365552670976e6,5.5219193529314063630359280011144009208133168786174165171242135455e6
f(x),8,-7.6883927252811179422042081796270186636697114876093742265673003997e7,6.9140643594045799827784587575358905976039583514693262637069193569e7
f(x),9,-8.2444482350098078061922115234573646893269222118011898346982407474e8,7.2808626431252845910552995813010601165812811417904442212721328716e8
f(x),10,-2.8451937823626155513348299777738564520069842476114437088663392478e9,1.4885737154128356842437018519172239680294397336459333687108130420e9
relative error=6.6938158643e0

,i,p_i,q_i
f(x),0,-1.0000000000000000000000000000000000000000000000000000000000000000e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
f(x),1,5.0321490697292422728763343796842148814074427947790711107210067494e1,-5.1321490697292422728763343796842148814074427947790711107210067494e1
f(x),2,-4.7296953810203189117292200325581917615949615781660022561921935184e2,5.2129102879932431390168534705266132497357058576439093672642941933e2
f(x),3,-5.3919476766619223477938525934430680794589936209034388415290189828e3,5.0116211199544753020784572777809332009276463189824200381242197659e3
f(x),4,3.5563588187354017021113088858241269528808524215459873257228525147e4,-4.1542903014641663769422678707821238770073914728414186861138302294e4
f(x),5,1.8320596999720374552899260004920520427377431060667347072426904057e5,-1.6029188787730896173278500527683556976534046806585048566633506523e5
f(x),6,1.2213549660982293727067118949211952379045083539732278023531383705e6,-1.0183848995697038180017385562824428069108407441742464552861559030e6
f(x),7,1.0431882003198267697327467660468748074911660971635217415557189819e7,-8.8408917861659846391350794308001306958104023073431365374283812538e6
f(x),8,1.0590428544264198964404347573481542708020531418777798451370676069e8,-9.1862392685036274490577331613579802761401391047234321067845941445e7
f(x),9,1.1777385250947321742386549169832993607763777335364091864110132417e9,-1.0368243836974248688405759709415402220991290975250487982342856579e9
f(x),10,1.2975934414852185340326573198441063511282291750030393405233748022e10,-1.1722271185267948002216510489337743616333944404813977098764867520e10
f(x),11,1.4834195430341250861241955568380692401855269442425083209665114950e11,-1.1980660512817808058228867811292131974320650618026423829414225925e11
