x,y
-128,-1.9940787809062865014639354028002345e-58
-127.984375,-2.0257263454213524730065682435102744e-58
-127.96875,-2.0578762113442434809019669745725919e-58
-127.953125,-2.090536351551099081053667655087555e-58
-127.9375,-2.1237148654769232308906591067295093e-58
-127.921875,-2.157419981124665400548040366378611e-58
-127.90625,-2.1916600571061972380494411124978354e-58
-127.890625,-2.2264435847156911854003233482452443e-58
-127.875,-2.2617791900359154829559673477850667e-58
-127.859375,-2.29767563607796816755569826552311e-58
-127.84375,-2.3341418249549809677431698697854629e-58
-127.828125,-2.3711868000903324289809243727825276e-58
-127.8125,-2.4088197484609181652083372183772775e-58
-127.796875,-2.4470500028760348325110065316509926e-58
-127.78125,-2.485887044292443258225988688628065e-58
-127.765625,-2.525340504166185136694636600872274e-58
-127.75,-2.5654201668417368233216254498743415e-58
-127.734375,-2.6061359719790930238689018153861426e-58
-127.71875,-2.6474980170193825883065690082317634e-58
-127.703125,-2.6895165596896281803954500600581574e-58
-127.6875,-2.7322020205472713078616799656106043e-58
-127.671875,-2.7755649855650940659532930407867097e-58
-127.65625,-2.8196162087571789717918038234861771e-58
-127.640625,-2.8643666148465584507365446829796416e-58
-127.625,-2.9098273019752158814938516220993541e-58
-127.609375,-2.95600954445711061649505821792494e-58
-127.59375,-3.002924795574910070745425572603197e-58
-127.578125,-3.0505846904211228185607933454444159e-58
-127.5625,-3.0990010487843376560521617230317303e-58
-127.546875,-3.1481858780812847806256418400457689e-58
-127.53125,-3.1981513763354466099147140316402066e-58
-127.515625,-3.2489099352029573142761066499276932e-58
-127.5,-3.3004741430465418721272770432777663e-58
-127.484375,-3.3528567880582573788954034294235015e-58
-127.46875,-3.4060708614318114511442065345162218e-58
-127.453125,-3.4601295605852448705520345121484859e-58
-127.4375,-3.5150462924347781108864284689813902e-58
-127.421875,-3.5708346767206340880593050400335488e-58
-127.40625,-3.6275085493856623719046848024200658e-58
-127.390625,-3.6850819660076032016993531743824818e-58
-127.375,-3.7435692052858429588986054524978167e-58
-127.359375,-3.8029847725835262733885984050116384e-58
-127.34375,-3.8633434035259036771205834004626036e-58
-127.328125,-3.9246600676558076747005173541403913e-58
-127.3125,-3.9869499721471642778244823968533312e-58
-127.296875,-4.0502285655774614528952554885997152e-58
-127.28125,-4.1145115417601105623034092265133722e-58
-127.265625,-4.1798148436376517433394281927319815e-58
-127.25,-4.2461546672367692682111058767000146e-58
-127.234375,-4.3135474656860982679211573114139734e-58
-127.21875,-4.3820099532978197856212818983653191e-58
-127.203125,-4.4515591097140569553690527392862889e-58
-127.1875,-4.5222121841191011839026403768725921e-58
-127.171875,-4.593986699518513550107557106304202e-58
-127.15625,-4.6669004570861632333347908379796569e-58
-127.140625,-4.7409715405802816417607506925564246e-58
-127.125,-4.8162183208296280397416668414161604e-58
-127.109375,-4.892659460290879872860241479998292e-58
-127.09375,-4.9703139176783786654097290535658356e-58
-127.078125,-5.0492009526673803217981231773302295e-58
-127.0625,-5.1293401306719769052403243031877312e-58
-127.046875,-5.2107513276988754986674301014726917e-58
-127.03125,-5.2934547352782385786199230224552347e-58
-127.015625,-5.377470865472809457678881406710201e-58
-127,-5.4628205559665657794739886489972025e-58
-126.984375,-5.5495249752341637873120369793557209e-58
-126.96875,-5.6376056277924561378943945693640844e-58
-126.953125,-5.727084359535386400413918154531893e-58
-126.9375,-5.817983363153584073597490479095503e-58
-126.921875,-5.910325183640004974126491530579474e-58
-126.90625,-6.0041327238829832045424057960248825e-58
-126.890625,-6.0994292503480826025296336265295278e-58
-126.875,-6.1962383988501576117478165252383097e-58
-126.859375,-6.2945841804170559026325386338267694e-58
-126.84375,-6.3944909872464178153539548347837221e-58
-126.828125,-6.4959835987570508020638148540822059e-58
-126.8125,-6.5990871877363805174082698960047726e-58
-126.796875,-6.7038273265855040508636275268493012e-58
-126.78125,-6.8102299936633950176842690227846286e-58
-126.765625,-6.9183215797318348331496818013393043e-58
-126.75,-7.0281288945026694934699150212396005e-58
-126.734375,-7.1396791732890165823616896466453074e-58
-126.71875,-7.2530000837620730212454005068520463e-58
-126.703125,-7.3681197328152002896409825531959189e-58
-126.6875,-7.4850666735369904671644425773602255e-58
-126.671875,-7.6038699122950434961564832827085554e-58
-126.65625,-7.7245589159322135411247485199792666e-58
-126.640625,-7.8471636190771102346731214013311547e-58
-126.625,-7.971714431570668956354874441687902e-58
-126.609375,-8.0982422460106330979610260539710245e-58
-126.59375,-8.2267784454158205332925316532551203e-58
-126.578125,-8.3573549110120762397300450153155971e-58
-126.5625,-8.4900040301418432202884289168189508e-58
-126.546875,-8.6247587042993145558226965780180617e-58
-126.53125,-8.761652357293160585254432632009141e-58
-126.515625,-8.9007189435388568748507537941499496e-58
-126.5,-9.0419929564826708035722000841453815e-58
-126.484375,-9.1855094371593972682971198208421053e-58
-126.46875,-9.3313039828859672084404786391170111e-58
-126.453125,-9.4794127560930863723557824943934396e-58
-126.4375,-9.6298724932970960063120466386613013e-58
-126.421875,-9.7827205142142819492785271257784561e-58
-126.40625,-9.9379947310198939718684014976926076e-58
-126.390625,-1.0095733657754173114366112215647645e-57
-126.375,-1.0255976419877721265708449470484198e-57
-126.359375,-1.0418762763978584291665050944119409e-57
-126.34375,-1.0584133067633457675472108487135956e-57
-126.328125,-1.0752128349425461887162126227457576e-57
-126.3125,-1.0922790279120973558299480689866169e-57
-126.296875,-1.1096161188008038016424037515883098e-57
-126.28125,-1.1272284079398928838024160712395413e-57
-126.265625,-1.1451202639299460820262755303144098e-57
-126.25,-1.1632961247247704160080298584467925e-57
-126.234375,-1.1817604987324789674972576047796939e-57
-126.21875,-1.2005179659340537613126685738502032e-57
-126.203125,-1.2195731790196685992301245163628348e-57
-126.1875,-1.2389308645430538487628492604262865e-57
-126.171875,-1.2585958240941896669341088901656911e-57
-126.15625,-1.2785729354906186883402687673756343e-57
-126.140625,-1.2988671539876738282443125820778027e-57
-126.125,-1.3194835135079215462740154432758159e-57
-126.109375,-1.340427127890125685690598257119579e-57
-126.09375,-1.3617031921580418483269674709370059e-57
-126.078125,-1.3833169838093571873724831489526367e-57
-126.0625,-1.4052738641250955004256257634541535e-57
-126.046875,-1.4275792794998125848883840050898241e-57
-126.03125,-1.450238762792911978097816110420862e-57
-126.015625,-1.4732579347014164468622304492138449e-57
-126,-1.4966425051545359165933213635584417e-57
-125.984375,-1.5203982747303779403235898723961688e-57
-125.96875,-1.5445311360951523039136829925428826e-57
-125.953125,-1.5690470754652269470514415846440332e-57
-125.9375,-1.593952174092398051609669554786617e-57
-125.921875,-1.6192526097727429109711591807140925e-57
-125.90625,-1.6449546583794300474779277762474113e-57
-125.890625,-1.6710646954198669916702618778381787e-57
-125.875,-1.6975891976175721779264321143392835e-57
-125.859375,-1.7245347445191635479956905150113985e-57
-125.84375,-1.7519080201268626882590704517338222e-57
-125.828125,-1.7797158145569196599024569586910282e-57
-125.8125,-1.8079650257243701151168465349303099e-57
-125.796875,-1.8366626610545428285491113965246674e-57
-125.78125,-1.8658158392217424131357368965102872e-57
-125.765625,-1.8954317919155387348105016025602305e-57
-125.75,-1.9255178656351013930596916194881142e-57
-125.734375,-1.9560815235120245956065595853632348e-57
-125.71875,-1.9871303471620948273687534367191332e-57
-125.703125,-2.0186720385664608980042025312302975e-57
-125.6875,-2.0507144219826732506262000358096698e-57
-125.671875,-2.0832654458860668284392336401883967e-57
-125.65625,-2.1163331849419693279643466954182653e-57
-125.640625,-2.1499258420092243190565530998688934e-57
-125.625,-2.1840517501755264849668796561391577e-57
-125.609375,-2.2187193748250741321979427263218387e-57
-125.59375,-2.2539373157390521418052102067072385e-57
-125.578125,-2.2897143092294666830980253178205035e-57
-125.5625,-2.326059230306861289418482137902302e-57
-125.546875,-2.3629810948824523058778898965889131e-57
-125.53125,-2.400489062005230262698039033797987e-57
-125.515625,-2.4385924361345824072591503354878584e-57
-125.5,-2.4773006694490004452533075479334738e-57
-125.484375,-2.5166233641914464986706324967710434e-57
-125.46875,-2.5565702750519593879295226772070516e-57
-125.453125,-2.5971513115880925895613237290329531e-57
-125.4375,-2.6383765406837846117691299229140272e-57
-125.421875,-2.6802561890472720702317291590355874e-57
-125.40625,-2.7228006457486654380858061765394086e-57
-125.390625,-2.7660204647978172894987849450484351e-57
-125.375,-2.8099263677631228580857475759066449e-57
-125.359375,-2.8545292464319028921101615017322081e-57
-125.34375,-2.8998401655130291104625748265439835e-57
-125.328125,-2.9458703653824630493969707024481767e-57
-125.3125,-2.9926312648723897425247843263163832e-57
-125.296875,-3.040134464104638498266716260579067e-57
-125.28125,-3.0883917473690940325294724145191127e-57
-125.265625,-3.1374150860478123825381542728246326e-57
-125.25,-3.1872166415855673732883018631977178e-57
-125.234375,-3.2378087685075649338016932536266176e-57
-125.21875,-3.2892040174850742691388122086460262e-57
-125.203125,-3.34141513844973678884575238589444e-57
-125.1875,-3.394455083757325776147754832666676e-57
-125.171875,-3.4483370114017420577460121841709679e-57
-125.15625,-3.5030742882800434045769136704442045e-57
-125.140625,-3.5586804935093180624500618468391913e-57
-125.125,-3.6151694217962256812388622577716073e-57
-125.109375,-3.6725550868600419854509350768008477e-57
-125.09375,-3.7308517249100568108014475931751459e-57
-125.078125,-3.7900737981781886241487094392406433e-57
-125.0625,-3.8502359985076923511783857818668653e-57
-125.046875,-3.9113532509988512609440625140491039e-57
-125.03125,-3.9734407177125578022453004214481863e-57
-125.015625,-4.0365138014327026573623232851153673e-57
-125,-4.1005881494883058774374735823806626e-57
-124.984375,-4.1656796576363387944225955968522813e-57
-124.96875,-4.2318044740062004706812075515859893e-57
-124.953125,-4.2989790031068277527858362232163009e-57
-124.9375,-4.3672199098974335445847691865902142e-57
-124.921875,-4.4365441239228837100896606103980356e-57
-124.90625,-4.5069688435147390630781640294114239e-57
-124.890625,-4.5785115400590052014986200722754908e-57
-124.875,-4.651189962331649504854651411278207e-57
-124.859375,-4.7250221409029614358484617159968443e-57
-124.84375,-4.8000263926118493778501698472202476e-57
-124.828125,-4.8762213251111846014804614853912427e-57
-124.8125,-4.9536258414853205910564453875021737e-57
-124.796875,-5.0322591449409338792355798880917833e-57
-124.78125,-5.1121407435723507403491762058308788e-57
-124.765625,-5.1932904552025425841652525743994346e-57
-124.75,-5.2757284123009916767521687782027727e-57
-124.734375,-5.3594750669796478983942140966162573e-57
-124.71875,-5.4445511960682166348769495423319059e-57
-124.703125,-5.5309779062700375927276881434413878e-57
-124.6875,-5.6187766393998343360555751000769417e-57
-124.671875,-5.7079691777046346674545276741590512e-57
-124.65625,-5.7985776492691826230579559511605469e-57
-124.640625,-5.8906245335071838273940257166701183e-57
-124.625,-5.9841326667397472623930050590918115e-57
-124.609375,-6.0791252478624081520354580938597574e-57
-124.59375,-6.1756258441021386550772676592114957e-57
-124.578125,-6.2736583968657753985056285949068598e-57
-124.5625,-6.3732472276813155794169447905864435e-57
-124.546875,-6.4744170442335564184988009992931423e-57
-124.53125,-6.5771929464955761699692027200697659e-57
-124.515625,-6.6816004329575786864933685492167923e-57
-124.5,-6.7876654069546477091701943617330265e-57
-124.484375,-6.8954141830949816081596211058636813e-57
-124.46875,-7.0048734937902042450064110229523755e-57
-124.453125,-7.116070495889372969400018175102202e-57
-124.4375,-7.2290327774183305072874787868900592e-57
-124.421875,-7.343788364426073650319661917912274e-57
-124.40625,-7.4603657279398382250554826120534856e-57
-124.390625,-7.578793791030626810771626855030627e-57
-124.375,-7.6991019359909330938296159970584521e-57
-124.359375,-7.8213200116264446011467649679922713e-57
-124.34375,-7.94547834066353385232004388560608e-57
-124.328125,-8.0716077272743767163891981452728101e-57
-124.3125,-8.1997394647215659622365063480036167e-57
-124.296875,-8.329905343124117658457447330086375e-57
-124.28125,-8.4621376573467982165666977559472297e-57
-124.265625,-8.5964692150147304881117128085378956e-57
-124.25,-8.7329333446552684292549681742885745e-57
-124.234375,-8.8715639039691614433798553658471651e-57
-124.21875,-9.0123952882330616111210166780089217e-57
-124.203125,-9.1554624388354596258890208179909945e-57
-124.1875,-9.3008008519481683795497836475620421e-57
-124.171875,-9.4484465873355067956577384131740734e-57
-124.15625,-9.5984362773033706948858475732034852e-57
-124.140625,-9.7508071357904122075352745652103993e-57
-124.125,-9.9055969676035845298679178301480053e-57
-124.109375,-1.0062844177800344663248081483666496e-56
-124.09375,-1.022258778121984318660653530311707e-56
-124.078125,-1.0384867412165467102593718244846737e-56
-124.0625,-1.0549723334241139375155126878610244e-56
-124.046875,-1.0717196450343816950473192609114565e-56
-124.03125,-1.0887328312814667833756624645426379e-56
-124.015625,-1.1060161133751447190851315403987773e-56
-124,-1.1235737795484632465880500683281324e-56
-123.984375,-1.1414101861219918164035391635160801e-56
-123.96875,-1.1595297585849712252328295365724196e-56
-123.953125,-1.1779369926936318090846063386515545e-56
-123.9375,-1.1966364555869528433223249184155426e-56
-123.921875,-1.2156327869201401338277853316309141e-56
-123.90625,-1.2349307000161031825772390324189635e-56
-123.890625,-1.2545349830352177799004469889709444e-56
-123.875,-1.2744505001636644156492942528556606e-56
-123.859375,-1.2946821928206375135683026339719555e-56
-123.84375,-1.3152350808847251784800926760808084e-56
-123.828125,-1.3361142639397639056381464457127331e-56
-123.8125,-1.3573249225404775369392164401710911e-56
-123.796875,-1.3788723194982146608292943996955174e-56
-123.78125,-1.4007618011871036429001550292346641e-56
-123.765625,-1.4229987988709495435974615665216804e-56
-123.75,-1.4455888300512023294052885474321054e-56
-123.734375,-1.4685374998363310156147083704041842e-56
-123.71875,-1.4918505023329436936251470321823763e-56
-123.703125,-1.5155336220589987949865265070149217e-56
-123.6875,-1.5395927353794584294087315324554118e-56
-123.671875,-1.5640338119647402061049240965563343e-56
-123.65625,-1.5888629162723296084805773592772897e-56
-123.640625,-1.6140862090519207427366941730850614e-56
-123.625,-1.639709948874459122851729571781051e-56
-123.609375,-1.6657404936854660890931558577893326e-56
-123.59375,-1.692184302383030486160346484002982e-56
-123.578125,-1.7190479364208593517728791885031758e-56
-123.5625,-1.7463380614367855885136253347724271e-56
-123.546875,-1.7740614489071369125594217265755651e-56
-123.53125,-1.802224977827376794153582864806481e-56
-123.515625,-1.8308356364194346278888142363424477e-56
-123.5,-1.8599005238661489976963745103465056e-56
-123.484375,-1.8894268520732546335234879049864968e-56
-123.46875,-1.9194219474593504956980555197723272e-56
-123.453125,-1.9498932527742933706262461498187693e-56
-123.4375,-1.9808483289464684194701370526334522e-56
-123.421875,-2.0122948569593952915622100734577832e-56
-123.40625,-2.0442406397581356983120234183017647e-56
-123.390625,-2.0766936041859757430568998144349273e-56
-123.375,-2.1096618029518638195408635536561192e-56
-123.359375,-2.1431534166290925283413844349004904e-56
-123.34375,-2.1771767556857208184984689542261035e-56
-123.328125,-2.2117402625472404427621330910143547e-56
-123.3125,-2.246852513691998821219762100736341e-56
-123.296875,-2.2825222217798985415828730947299234e-56
-123.28125,-2.3187582378149019871234990215071563e-56
-123.265625,-2.3555695533418779772060539261065632e-56
-123.25,-2.3929653026783358326459677019328526e-56
-123.234375,-2.4309547651816009408595632723143241e-56
-123.21875,-2.4695473675519946961022064233522422e-56
-123.203125,-2.5087526861725906302094859676580148e-56
-123.1875,-2.5485804494861276313796016591218817e-56
-123.171875,-2.5890405404096703749200475974248828e-56
-123.15625,-2.6301429987876164628197146953742678e-56
-123.140625,-2.6718980238836592908267380730308489e-56
-123.125,-2.7143159769123253347778093408311355e-56
-123.109375,-2.7574073836107143746388569978513075e-56
-123.09375,-2.8011829368510811575207369006463248e-56
-123.078125,-2.8456534992949071423064106120114961e-56
-123.0625,-2.8908301060891212709869554902481607e-56
-123.046875,-2.9367239676051391779115969563985093e-56
-123.03125,-2.9833464722214008805113838496587837e-56
-123.015625,-3.0307091891500977962980444501576124e-56
-123,-3.078823871308790903751820994862576e-56
-122.984375,-3.1277024582376330118201633753743445e-56
-122.96875,-3.1773570790629194269218460498197689e-56
-122.953125,-3.2278000555077028104011206415693331e-56
-122.9375,-3.2790439049502197061613804621824789e-56
-122.921875,-3.3311013435308880906303380846114332e-56
-122.90625,-3.3839852893086473582178657206373939e-56
-122.890625,-3.4377088654674244080192326575888286e-56
-122.875,-3.492285403573521944733900380805466e-56
-122.859375,-3.5477284468847377517050602826664238e-56
-122.84375,-3.6040517537120365397785952913149596e-56
-122.828125,-3.6612693008346090255228882128683369e-56
-122.8125,-3.7193952869691661494843503484876917e-56
-122.796875,-3.7784441362943298128706650987670262e-56
