x=-1
derivative degree,df
0,-6.76875028178700868441361275041724858464712006683671235202511738242344236154885695073044892655249564147835767312687580710669626417e-1
1,-1.35034831950617963133036734227387998045793671711663008536389508912544659524141491720326380416233853220248174171588334883405451720e-1
2,-1.29748103443298135012206575412955382403651098782988524749800249108260923715370193957477308377110523580015400017497293115185106332e-1
3,-2.25179344617026176607044272039988986949519727398990259865391148782660829982311903508912091571312161704640138240842862348310606277e-1
4,-5.71380480105997032280461964721017122789547045529022056928134352759102955145505542385233669104902366119416619742147858664837494016e-1
5,-1.91820388232201230551455763197334903456266990040379618446766699279558900750070538992918089510184112124433693011555050058786808642e0
6,-8.03644515180018840784123200236948256176475493268253229804795045081533612339518950422126782887866192724825240755178835488478645583e0
7,-4.04375025443638122086849182669467110616123127800056885927391361068273694080722912067822857217345124872206442337070061002365903155e1
8,-2.37845752144670672227281663332603722626891990990003876873595080613650993948608630221884826248574692370289297189614132812161036403e2
9,-1.60269471367412018059530381251178095906681913897166804546583455181564274490760138617279506151650378253209056168254552152831905313e3
10,-1.21812834032968654681350633383018733053997682263299353303793652421651415345385264318624200456090721250234217475325314899257392663e4
11,-1.03144402834987315498194510045248223468828895331877688240752570228128323469274539751626237415378264684826429585969776770928985798e5
12,-9.63229882345868749736420502618300192071397838110809247773237094119711090255500980931912924919983785349462644647939082482370830614e5
13,-9.83810215461505688344719167678905628878151331113341062145879926253617184924295783404224746973911061295869113174076763922444527065e6
14,-1.09125169168423903807608989697563954168513764049110372930530872405989153092181132371397823160307730922021514992761717664834299691e8
15,-1.30662698244932000681316134621780550859878426531657175721004193172678004459304271860504767659683644897673969616171523280676428506e9
16,-1.68007070195764688079657215751445631717792464360222732670119532381608814727940500319766038628250248218208476433439816828854528922e10
17,-2.30928010577505988735551501733086871558827793395403427606135660134025472987027578074142228309032747433293210406269134564756124791e11
18,-3.37955029988223103577498796685975346949820110858230377690031611434573260836263889564459004905007309601535594508723862116085272064e12
19,-5.24724005976471684573600244862110000785038494533571506040994657542320200593136558964807810227321551460581821116145169468934548412e13
20,-8.61616660026857909784375319561650261743760504577782424440513104881848487011990583024234609332670128604473902331258245451210873606e14
21,-1.49200295841042469087073242495615856681978077858724046451496767261212634156052160899788419369577264456368419136644488067636460952e16
22,-2.71755716808625077559553994218874712439917069702797377405153875263289104422857011139954656780911945835973449505339057842702828227e17
23,-5.19427828968804881146011188242963328245601140035431045741658329032233473448871748444559752425062721021707134862146454591847598200e18
24,-1.03963981973246493547342099893093592017286640794458220113038136708111641955672985688564196864190017393500010194859771893011766712e20
25,-2.17472138050325014465498396237175545477247111267728941558234005831901114710072060370229302405366008192405954729186770012902925818e21
26,-4.74578385724050411375485211271515461070384506624484210202670024265591649600502363605403098400634303124626276057935343521110241166e22
27,-1.07864165492136761846501936374921149326433253945157152154638632248060076866245850611352257834216775369999537854982416140309691179e24
28,-2.54945002652174761540437828357072021836272607784080664812069664667980324747268030148793196734375109767761599069218084713979672740e25
29,-6.25747518848286308284854196364509418543308834868492821230350700296091894938738077537586883854693599387047790429047041084510764930e26
30,-1.59280038787556554865751643937068593180869701019711402645647769881970838128279582419857287502417021886955941654974834479023390260e28
31,-4.19950502257357878656250160988939733776500145180145104792213470527777796338863536855131692781647731236861804687248414832279449906e29
32,-1.14553733828748221367729117481036508045702666782467145716562590030831310586968344310423498838158354581165095317831828358479644434e31
x=-0.984375
derivative degree,df
0,-6.79000930418724841845675127231601182929714278187885474284071983710407488839508030271542724519335504188227399299352390882978239452e-1
1,-1.37090001880921344816098951263709559334501075951109255612797400334753174838001840376130064678667181604878858373463998643160786167e-1
2,-1.33337519135330497821856967664533189628748244109959782699045202124210017889391665397279050172319919512915506600539417411699626570e-1
3,-2.34346532106761229465740752265579813042436049904889781358789546507105307396308354217683697117200539195855696294118939479716580389e-1
4,-6.02359739995877484863315358773468548434701425470089576552308534992873584343694467889902791297476036801896951027549042603605702123e-1
5,-2.04886485165149512759416428409732379821815809484237293958797861794218740590282158203709074530843810775605726084005001326510295213e0
6,-8.69836507317595113981721003476063296253086663319387685148590582885228413203084254167280900177020884448917829145777730869174247929e0
7,-4.43574923590015419749195514135754842802560379604628145923300971796649512672487748754517324217170979863162176711646561591052337610e1
8,-2.64442878389767520543378420656599837549608541778126784122194641393282822300061197043458575781513694915302130877455418983742062510e2
9,-1.80625584870455679141579689897736611845695472988031101938583367181250302617994356654528059819759926218870435296607233091708661946e3
10,-1.39170328735713018026492517176060868880771659294695650498127529255700126872661344668496571397201871888089262392436154107825687360e4
11,-1.19468570123505058514356884133077103558204511454397872799622930463368362038532972063770369835728082364281182843451678218789114317e5
12,-1.13114549107064843201015618784264923353037995835659593824305476313207131386721466130599389526404371054304484230352298234945705336e6
13,-1.17139657342232366494675042614800093588967490582497999550709097909414763514961762687153640848272164028674660166682872515932574175e7
14,-1.31747721955763523088782513677983629641185186793024018896332307755619784710356993128183145932057801469856041613860496604682062857e8
15,-1.59961346218572451724710428394836764041940553348910486391601631664667496596678845888806431218389049659174354069627017140159621010e9
16,-2.08571223789973567318151130291198661549538616800604568027057969245147785935460734031003597846764814116601712244656506670735413141e10
17,-2.90725880738390967966107859285093625694228579701538018276055042974775802663947592808861808775744070920746701649558783055783830852e11
18,-4.31481270271522633004017460875269891032909390070050360257308778039682384270445761625493427168376265183185595305111153501027028133e12
19,-6.79429844058018106149566619282692661054810417242801902132561438256657710046966819758704745754148982575573945240140226949438890346e13
20,-1.13149394633043895026961199348806627880679802366620852419627967184607893383106370829323706132941852128207265085157494369464349172e15
