x,y,m,f1
-1024,-1.8695069251825843092893948451190924e-448,8,1024.9990262864799233877002002192198
-1023.875,-2.1186872572536025360648301184418574e-448,8,1024.874026167950296417360196567715
-1023.75,-2.4010800389977014711432337404736649e-448,8,1024.7490260493918087285358237291436
-1023.625,-2.7211120564010004147716766546925191e-448,8,1024.6240259308044497789814612732948
-1023.5,-3.0838001288714852259078141071574147e-448,8,1024.4990258121882090213163477486999
-1023.375,-3.4948297531618789929567742723183799e-448,8,1024.3740256935430759030214536230847
-1023.25,-3.9606442295348435885479598023042812e-448,8,1024.2490255748690398664363519384553
-1023.125,-4.4885456673226336069717216915733384e-448,8,1024.1240254561660903487560866788704
-1023,-5.0868094532564732559581930874941852e-448,8,1023.9990253374342167820280388489472
-1022.875,-5.7648139769853523272301890807590967e-448,8,1023.8740252186734085931487902611509
-1022.75,-6.5331876473780167060789338607942212e-448,8,1023.74902509988365520386098502991
-1022.625,-7.4039755042550066469144530395154792e-448,8,1023.6240249810649460307501887706044
-1022.5,-8.3908280373787599982408151503162625e-448,8,1023.499024862217270485241745501465
-1022.375,-9.5092151726544884712834008016954902e-448,8,1023.3740247433406179735976322464265
-1022.25,-1.0776668780020034903433569988556576e-447,8,1023.2490246244349778969133113369703
-1022.125,-1.2213057504613901418717719012735447e-447,8,1023.1240245055003396511145804109933
-1022,-1.3840898229516119482762940730457949e-447,8,1022.9990243865366926269544201067374
-1021.875,-1.5685709052599849470645318460149899e-447,8,1022.8740242675440262100098394498111
-1021.75,-1.7776409310814525783957738325268768e-447,8,1022.7490241485223297806787189313333
-1021.625,-2.0145772922745837647253185233667846e-447,8,1022.6240240294715927141766512752276
-1021.5,-2.2830942156125474059172076952077508e-447,8,1022.4990239103918043805337798926945
-1021.375,-2.5874009874197010779138342370355379e-447,8,1022.3740237912829541445916350218835
-1021.25,-2.9322679388332653965300997397943895e-447,8,1022.24902367214503136599996755079
-1021.125,-3.3231012260867063734085498444669471e-447,8,1022.1240235529780253992135805213963
-1021,-3.7660275780840460027216079684775273e-447,8,1021.9990234337819255934891583130749
-1020.875,-4.2679903397836943152499090008534752e-447,8,1021.8740233145567212928820935032721
-1020.75,-4.8368583169859521412057921615302872e-447,8,1021.7490231953024018362433114034851
-1020.625,-5.4815491287959583729632576603310025e-447,8,1021.6240230760189565572160922685466
-1020.5,-6.2121690014594274916071812685265924e-447,8,1021.4990229567063747842328911772268
-1020.375,-7.0401711950072306086768669459509264e-447,8,1021.3740228373646458405121555821624
-1020.25,-7.9785355462371027049874396469035754e-447,8,1021.249022717993759044055140527119
-1020.125,-9.0419719425854333987392014808756336e-447,8,1021.1240225985937037076427215295923
-1020,-1.0247150916588459392015645880618509e-446,8,1020.9990224791644691388322051267509
-1019.875,-1.1612964975781130742132307866643208e-446,8,1020.8740223597060446399541370827218
-1019.75,-1.31608247646982345876059122671676e-446,8,1020.7490222402184195081091082552175
-1019.625,-1.491499470167912980506255484270687e-446,8,1020.6240221207015830351645581195029
-1019.5,-1.690297335199451693020312327722753e-446,8,1020.4990220011555245077515759476956
-1019.375,-1.9155924500111811246117609577297816e-446,8,1020.3740218815802332072616996413946
-1019.25,-2.1709165678688676938151954049574366e-446,8,1020.2490217619756984098437122156268
-1019.125,-2.4602721812591234939912061572084042e-446,8,1020.1240216423419093864004359321024
-1019,-2.7881952656994153374593407549157807e-446,8,1019.9990215226788554025855240797659
-1018.875,-3.1598263865436049780906035765617635e-446,8,1019.8740214029865257188002504006272
-1018.75,-3.5809912834710016899296736974110857e-446,8,1019.7490212832649095901902961588578
-1018.625,-4.0582921959217408595055467089667956e-446,8,1019.6240211635139962666425348511325
-1018.5,-4.5992113611194388961547353828530425e-446,8,1019.4990210437337749927818145561961
-1018.375,-5.2122283071430695447899419531887308e-446,8,1019.374020923924235007967737921633
-1018.25,-5.9069527797652363115979353906962775e-446,8,1019.2490208040853655462914397858154
-1018.125,-6.6942753868535736954477563714945665e-446,8,1019.1240206842171558365723624330023
-1018,-7.5865383218778510782420977739951168e-446,8,1018.9990205643195951023550284795629
-1017.875,-8.5977288428315216937294762821380426e-446,8,1018.8740204443926725619058113892924
-1017.75,-9.7436985395973445389639905344098307e-446,8,1018.7490203244363774282097036157875
-1017.625,-1.1042411827054397728729982960667892e-445,8,1018.6240202044506989089670823698492
-1017.5,-1.2514227559375748759404927732802412e-445,8,1018.4990200844356262065904730098744
-1017.375,-1.4182218180184413047033804171647297e-445,8,1018.3740199643911485182013100531987
-1017.25,-1.6072531411659481730234335876142784e-445,8,1018.2490198443172550356266958063499
-1017.125,-1.8214800152538797920616279951512608e-445,8,1018.1240197242139349453961566121703
-1017,-2.0642607010703177482072161264510349e-445,8,1017.9990196040811774287383967117624
-1016.875,-2.3394010752497161040091816988395733e-445,8,1017.8740194839189716615780497192124
-1016.75,-2.651214292156901109818512845051163e-445,8,1017.7490193637273068145324277070424
-1016.625,-3.0045883980014080335145298711805803e-445,8,1017.624019243506172052908267900342
-1016.5,-3.4050629571224840699599790996359327e-445,8,1017.499019123255556536698476977525
-1016.375,-3.8589158916630288002667164436518768e-445,8,1017.374019002975449420578872975659
-1016.25,-4.3732618959594434962180392724002867e-445,8,1017.2490188826658398539049247983091
-1016.125,-4.9561639684237481866443889390644748e-445,8,1017.1240187623267169807084893238395
-1016,-5.6167598093288774836965514428079056e-445,8,1016.9990186419580699396945461121102
-1015.875,-6.3654050659513969394757966458182593e-445,8,1016.8740185215598878642379297075086
-1015.75,-7.213835670631277906501808306078619e-445,8,1016.7490184011321598823800595362489
-1015.625,-8.1753518166160604635692042028432485e-445,8,1016.6240182806748751168256673958756
-1015.5,-9.2650264557587983953252556974826366e-445,8,1016.4990181601880226849395225348993
-1015.375,-1.0499941586553097767212395515274403e-444,8,1016.3740180396715916987431543204972
-1015.25,-1.1899456036640573920079665400313799e-444,8,1016.2490179191255712649115724922032
-1015.125,-1.3485508937645636055353214144058355e-444,8,1016.1240177985499504847699849995147
-1015,-1.5282963649719434382886044230767491e-444,8,1015.9990176779447184542905134213376
-1014.875,-1.7319997527280470108386292950823307e-444,8,1015.8740175573098642640889059651927
-1014.75,-1.962854363606430401193980282726588e-444,8,1015.7490174366453769994212480441008
-1014.625,-2.2244791346004501220804700347758822e-444,8,1015.6240173159512457401806704290643
-1014.5,-2.52097536474284835719149582833689e-444,8,1015.4990171952274595608940549750617
-1014.375,-2.8569910084034104864412113445647192e-444,8,1015.3740170744740075307187379184651
-1014.25,-3.2377935381512829352955669184119673e-444,8,1015.2490169536908787134392107437946
-1014.125,-3.6693525194086276943947327911835813e-444,8,1015.1240168328780621674638186177167
-1014,-4.1584331913684398034433691648252187e-444,8,1014.9990167120355469458214563881945
-1013.875,-4.7127025211882501302753734149006519e-444,8,1014.8740165911633220961582621466938
-1013.75,-5.3408493940078819469718465488622973e-444,8,1014.7490164702613766607343083513484
-1013.625,-6.0527208229387517446005170929602473e-444,8,1014.6240163493296996764202905089849
