x,g
-128,-128.99236465840002760679909668707171424481446495668312651445877858955341968
-127.984375,-128.97673874717182809021586710805610459563067284433677688144451621004697832
-127.96875,-128.96111283572605575032975020990834078936719212499368661629015489508012672
-127.953125,-128.94548692406263263628534342212994251818238116069256316908767121601370305
-127.9375,-128.92986101218148075997760874191388539434095990009868633974296010180148181
-127.921875,-128.91423510008252209602961514851443083936377883589195883039512757154003287
-127.90625,-128.89860918776567858177026505298452932071590541716513122010387710862153448
-127.890625,-128.88298327523087211721200476991702886468749332511291234782847281776090156
-127.875,-128.86735736247802456502851899781313190931957422715003079644768175098955255
-127.859375,-128.85173144950705775053240929468874092345825043731709284768966182038151123
-127.84375,-128.83610553631789346165285653551651679079962308705654416589881637835467455
-127.828125,-128.82047962291045344891326733808864372460630264536102494277877429523647813
-127.8125,-128.80485370928465942540890444387245042310491034408081120178523905014533885
-127.796875,-128.78922779544043306678450104041817928086120715577657162444560206747769844
-127.78125,-128.77360188137769601121185901186532372110219049376832589790850666291089728
-127.765625,-128.75797596709636985936743110408106809141764762005298427951163850402103151
-127.75,-128.74235005259637617440988699095146505391034812236122543270837743426429981
-127.734375,-128.72672413787763648195766322833307198403549297189684217011727815414274324
-127.71875,-128.71109822294007227006649708215984055341547826015094948456912837714083132
-127.703125,-128.69547230778360498920694421718711239415277629374469432252565345520317781
-127.6875,-128.6798463924081560522418802328416185088870871521362549651619282632460079
-127.671875,-128.6642204768136468344039860326334108853261435802880128639801572036254767
-127.65625,-128.64859456099999867327321701357267157947387463815716725313103633714798761
-127.640625,-128.63296864496713286875425606202134733151417049854057737823371343626181565
-127.625,-128.61734272871497068305395034239654655549024020970372847737403137556421613
-127.609375,-128.60171681224343334065873186512961028173335870470044547708937767311823394
-127.59375,-128.58609089555244202831202182027172931260331408309823343131069908490230742
-127.578125,-128.57046497864191789499161866312392646064652715575298248885008614197790928
-127.5625,-128.55483906151178205188706993825615525687480707992804584949345862039413055
-127.546875,-128.53921314416195557237702782826718492861393093168498570976062067199454316
-127.53125,-128.52358722659235949200658841362384573434027713982860191781765937537422233
-127.515625,-128.50796130880291480846461462990509889016684113171771744227055633188199876
-127.5,-128.49233539079354248156104290876327131218597482565387644129031166401869842
-127.484375,-128.47670947256416343320417348890165721373156622804777270683492124430314768
-127.46875,-128.46108355411469854737794438335453621977211350978426247590981416687005456
-127.453125,-128.44545763544506867011918898934249107504977502321377430391882956887664613
-127.4375,-128.42983171655519460949487732696272721117800918240013268247177514124684976
-127.421875,-128.41420579744499713557934089296090138361833084375967157745191779387132275
-127.40625,-128.39857987811439698043148111581775727516890464648636986432318353274576542
-127.390625,-128.38295395856331483807196139837064237118546498083692156529832750805754539
-127.375,-128.36732803879167136446038273417674252606705194832627852418833176512599195
-127.359375,-128.35170211879938717747244288381161844340126613130110241107672876088043281
-127.34375,-128.3360761985863828568770790972833617663794509356375434901923095465384004
-127.328125,-128.32045027815257894431359436872940760344195115504328069703987597092712514
-127.3125,-128.30482435749789594326876720954974507935514157807790766527517426551569407
-127.296875,-128.28919843662225431905394492611695788679023831522833890080038044328614876
-127.28125,-128.27357251552557449878212038819020280068113059612320173817600843681184224
-127.265625,-128.25794659420777687134499227414689568987386578596575877347056040048113387
-127.25,-128.24232067266878178739000877913252170051034717000395844308162980042083571
-127.234375,-128.22669475090850955929739477221561897585668963094834399116600207321029072
-127.21875,-128.21106882892688046115716238862160350051298165803212361977299610106440851
-127.203125,-128.19544290672381472874610504310570639572338095774850172324884726190900277
-127.1875,-128.17981698429923255950477485051188422941794866448726545310730471081533274
-127.171875,-128.16419106165305411251444343955113762221175948194273398245909448334630637
-127.15625,-128.1485651387851995084740461458192336113908667360508821019710379016421204
-127.140625,-128.13293921569558882967710957006037286143377262992339749138601698028120079
-127.125,-128.11731329238414211998866248766987386433310750559263798663811135976793184
-127.109375,-128.10168736885077938482213009541546273835400890346430697369545892693377879
-127.09375,-128.08606144509542059111621158134325909232872812521755490926065550067736931
-127.078125,-128.07043552111798566731174100382103565655352691155736264395887323573133575
-127.0625,-128.05480959691839450332853146565780197321290577232090324245574702716498294
-127.046875,-128.03918367249656695054220256922522037137323875993695350848696255726734466
-127.03125,-128.02355774785242282176099113849280570630521789949063622043820307243381445
-127.015625,-128.00793182298588189120254519387528890253097165954941559295730304866619282
-127,-127.99230589789686389447070116577693818684271623708358836429068011200476498
-126.984375,-127.97667997258528852853224433270403101387725549475387139736138663734759462
-126.96875,-127.96105404705107545169365246980305405490298961988755200137264794128200409
-126.953125,-127.94542812129414428357782269366857822250820948659140233680509073460330292
-126.9375,-127.92980219531441460510078148925111052207265577368310003474032493863082904
-126.921875,-127.91417626911180595844837790468156453743631444758025739800440967168966789
-126.90625,-127.89855034268623784705295989981531655520426726669753892051992532947641406
-126.890625,-127.88292441603762973557003383428512469177450596554343870115950299814019064
-126.875,-127.86729848916590104985490708083848389155363037764926472354765250971582237
-126.859375,-127.85167256207097117693931374972127029601621845404328710288913140686899916
-126.84375,-127.83604663475275946500802350985579422332653589442175194026194688479785783
-126.828125,-127.82042070721118522337543349254763182921148792921776515069468574213955107
-126.8125,-127.80479477944616772246214326344184142366280121032123244673018494378030398
-126.796875,-127.78916885145762619377151284843539137684197331875871399459744097717017172
-126.78125,-127.77354292324547982986620379923883254322723800654818823286195839905252793
-126.765625,-127.75791699480964778434470328426643914751741162530989415902495161046006974
-126.75,-127.74229106615004917181783119052021809100876995641534725254865420899408816
-126.734375,-127.72666513726660306788523022211934763497979381612893846507475204460759677
-126.71875,-127.71103920815922850911183898111275237992239978563762412235710665374771717
-126.703125,-127.69541327882784449300434801619865236809073221074075434127595465566241246
-126.6875,-127.67978734927236997798763882496103997361920188224561730990622032533722495
-126.671875,-127.66416141949272388338120579521913899118552286909128291176477304974092626
-126.65625,-127.64853548948882508937556107107198597263313378863681967553936651319295563
-126.640625,-127.63290955926059243700862232920634437286747486057953747259139406943548141
-126.625,-127.61728362880794472814208345102221743342474329510612206107246465683382435
-126.609375,-127.60165769813080072543776807611626593607828199654510450067374055388732545
-126.59375,-127.58603176722907915233396602264946198137064923960852854021281628821764453
-126.578125,-127.57040583610269869302175256011131976968827753595435496974490046408373885
-126.5625,-127.55477990475157799242129051997903896705565924629531498945263506575295206
-126.546875,-127.53915397317563565615811522975587560581795332769421092027581502647852244
-126.53125,-127.52352804137479025053940225585901958338107300510301296925911906896304713
-126.515625,-127.507902109348960302530217940813206661738456000877768472946390926247996
-126.5,-127.49227617709806429972975272019222641816105634661027690750369392735254854
-126.484375,-127.47665024462202069034753720473640583466426441151041548113603760336465704
-126.46875,-127.46102431192074788317964101306005112217047415292625700845772676615215394
-126.453125,-127.44539837899416424758485434034871793611223237836813317644685714200783613
-126.4375,-127.42977244584218811346085224843205233499699094803797746938321358669683163
-126.421875,-127.414146512464737771220341662603801643584378705545875497165354459624231
-126.40625,-127.3985205788617314717671910605464357891897913559860071762370271766108911
-126.390625,-127.38289464503308742647254283870364566457834087342607726500431566085521012
-126.375,-127.36726871097872380715090834142979561528035213511095432585571753173739003
-126.359375,-127.35164277669855874603624553823120223424831253146446991852209654449125013
-126.34375,-127.33601684219251033575801933439989125386523168060982568566413924973870915
-126.328125,-127.32039090746049662931724450032624843566057046906780620252673142333792656
-126.3125,-127.30476497250243564006251120476272895292208855604689382023916914982075034
-126.296875,-127.28913903731824534166599313729652282191495772366995162818174929097313088
-126.28125,-127.27351310190784366809943820527479144481306254832540412931742736687390836
-126.265625,-127.25788716627114851361014179041179226286623789838714475166997883192302808
-126.25,-127.24226123040807773269690255029289486290082689142280535060905413453946582
-126.234375,-127.22663529431854914008596074997616261508377284481778271440552504427059187
-126.21875,-127.2110093580024805107069191088778290260516750026657235507619360909793505
-126.203125,-127.19538342145978957966864614811363745006979522189434930593908235309785656
-126.1875,-127.17975748469039404223516202345363659287058365287554695210463370130079577
-126.171875,-127.16413154769421155380150682903363234923026876512383413695279852261559646
-126.15625,-127.14850561047115972986959135695208891715345772200444715176766055210370912
-126.140625,-127.13287967302115614602403029786684880970216093440906857537980343254907045
-126.125,-127.1172537353441183379079578676916023209544134544106729087543085074419021
-126.109375,-127.1016277974399638011988258454775821762104825151563932765311679689743115
-126.09375,-127.08600185930860999158418400755148848925779768967010037917703157365357789
-126.078125,-127.07037592094997432473744294296616274210995929596776822328364593598132529
-126.0625,-127.05474998236397417629361923530602727597564485003570720578629939863875297
-126.046875,-127.03912404355052688182506299587478871708950990186172484439797326426243758
-126.03125,-127.02349810450954973681716773327836983822319281811111521151408126197105143
-126.015625,-127.00787216524095999664406254440148455693852695594934040611693907478178627
-126,-126.99224622574467487654428661176170507566956435441520147903203343357680759
-125.984375,-126.97662028602061155159644599221028855722179340099781260600608407176876689
-125.96875,-126.96099434606868715669485268193443318292696690980267611588689904709832189
-125.953125,-126.9453684058888187865251459427010199401353942124008324460562965962648352
-125.9375,-126.92974246548092349553989587426726701158367062314563306595481706595811432
-125.921875,-126.91411652484491829793418921786907817203799355055239292952000304903866394
-125.90625,-126.89849058398072016762119737568320511804887649352941125234084299101688768
-125.890625,-126.88286464288824603820772663114466614520366860146980334726372286903035024
-125.875,-126.86723870156741280296975055498617002444424740591474635333802167786548328
-125.859375,-126.85161276001813731482792458185158429531794739642827599291819093810960346
-125.84375,-126.83598681824033638632308274232076146991349356697576067493117243522610777
-125.828125,-126.82036087623392678959171653516829480713756967102240386089576499668296568
-125.8125,-126.80473493399882525634143592466401735332263683243695075778948404228761988
-125.796875,-126.78910899153494847782641244770828383230749066461548548405067015936398821
-125.78125,-126.77348304884221310482280441558028468645731734366395294691358786337961104
-125.765625,-126.75785710592053574760416419506283509992190791746738883001187374262704178
-125.75,-126.7422311627698329759168275536922591570751174384056864029878214604407098
-125.734375,-126.72660521939002131895528505386715038281514993294120055927271538726102106
-125.71875,-126.71097927578101726533753548053493475748694862655524856318662093845283532
-125.703125,-126.69535333194273726308042128716029087784156972594471546746025591418468122
-125.6875,-126.6797273878750977195749460446645942268731349249586104629901899832198674
-125.671875,-126.66410144357801500156157387801064849974549245920469427824163287341018796
-125.65625,-126.64847549905140543510551087509204659048521235309158675220584367754380854
-125.640625,-126.63284955429518530557196845257156715479554658513047276817254461105971411
-125.625,-126.61722360930927085760140866329805960833141320286774857317422819857380692
-125.609375,-126.60159766409357829508477142991630097713555582504708983972880293278184258
-125.59375,-126.585971718648023781138683689269322167711315267426639006163970923887273
-125.578125,-126.57034577297252343808065043217769894841170586275321200816641382655645227
-125.5625,-126.55471982706699334740422762316528421144470278219029357690674575918259169
-125.546875,-126.53909388093134954975417698468582289579097620937894243145438499476947322
-125.53125,-126.52346793456550804490160263038983927563604276050734110638559427333793826
-125.515625,-126.50784198796938479171906953195611813644032525009354539239486017049092092
-125.5,-126.49221604114289570815570380399701665138735253845744252043130442606023288
-125.484375,-126.47659009408595667121227479153174251451473869183787938127361141213626051
-125.46875,-126.4609641467984835169162589445066160631700756319386082590421554699815601
-125.453125,-126.44533819928039204029688546382619971134281054164078291623830933367134577
