x=1, n=13, |dx| = 0.5
,i,p_i,q_i
f,0,-1.3254634603586405592599374156229168178339107251072604504676437621e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
f,1,4.2438776539980803119269090216277924297623800089438624775045616472e-1,-8.6678173238364154391860652172983712812788230567959509791905086829e-1
f,2,-8.7474585981440589197977967270901950055157800478758140898307620295e-2,4.7777556696710176993478419282365622735555008134207920077234549768e-1
f,3,-3.6334824446518845094007223473592431738591202265197135148830978979e-2,-1.7619492270091244262885632650906400203688002471148511141020067008e-1
f,4,2.0308386394652416643791965692508552477947644743662654597457367604e-2,4.9493584882354967853505633222246389709861439667734560799127642301e-2
f,5,-6.5497785839072261021905139107895058495744845117691466126483639209e-3,-1.0661645265177441737146484161486618436768980204872351472716747387e-2
f,6,1.2389548551685277382818508385090911031334531091502260626841008419e-3,1.8272872210726407147096314207757728717377968300233269564128552952e-3
f,7,-1.7661743314962097056214066897006598889525490633777818743591902300e-4,-2.4880441664141939815785761677010016470574095765832859233098602097e-4
f,8,1.7636368616414268411359975492836818478837965468707451503915107478e-5,2.7331381989811034629619888474966977913591721418988453014584646843e-5
f,9,-1.4908747626780664944290874348578697728019652963538026148432537601e-6,-2.4321110212360606719701800182008908460778453129613927344474946441e-6
f,10,1.1426331284435419048746132667285249271144757631956990059082248251e-7,1.7698166125567982156373611606244809076397074251602950813807369900e-7
f,11,-7.4871327105043721274717602697005312553199586503752081239281935281e-9,-1.0445402613049015120258731612186589906273304924974494760243725042e-8
f,12,2.7325486540920678589882937170231447057590403409872204259109771517e-10,4.6877550741036417613037726216878733643031876129813800285015590258e-10
f,13,-7.9077598068430022764345496043118371007454536933173293674737694701e-12,-1.1468882812687428511054007517919070766267423452107979734945905631e-11
,i,p_i,q_i
g,0,-2.7904063653172521164788543935368182951177580342697437762202978666e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
g,1,1.2003632884931352018428224440704434663716907391975799439688206899e0,-9.3088901092846679190428308528112512750568977335100712668948367269e-1
g,2,-3.2292387993019613224949761939084065417637937799347322270115749424e-1,5.2829167041193503123973028012680562781613502600666281629946546896e-1
g,3,-3.8793970534552608529507640946250528089627394582310011516664207474e-2,-1.9990558122502413016488949715038507627168057644205736698297174533e-1
g,4,4.1531963080758286060764399944351668267813377894263606566543384336e-2,5.7264847614434944422609441003469400154244175820842686959925032041e-2
g,5,-1.6535119416824836391322410806879974886273123492574473228455888378e-2,-1.2573794769637892801429546286860461609269133867269547855424640140e-2
g,6,3.7691680129947618416958822070054755997797112002926842071543771744e-3,2.2069550642620167109494865392564988425878557720697872342927179799e-3
